City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,11.07,72,86,0.89,AU,2024-11-09 21:44:09
1,margate,51.3813,1.3862,8.16,87,92,3.16,GB,2024-11-09 21:45:17
2,zhezqazghan,47.7833,67.7667,-2.34,86,100,9.9,KZ,2024-11-09 21:46:45
3,adamstown,-25.066,-130.1015,23.13,88,99,9.13,PN,2024-11-09 21:46:26
4,port-aux-francais,-49.35,70.2167,5.04,90,81,9.98,TF,2024-11-09 21:44:55
5,es castell,39.8795,4.2854,16.38,88,20,1.54,ES,2024-11-09 21:46:48
6,antofagasta,-23.65,-70.4,19.6,72,15,1.77,CL,2024-11-09 21:46:03
7,stanley,54.868,-1.6985,7.38,97,75,0.0,GB,2024-11-09 21:44:16
8,waitangi,-43.9535,-176.5597,15.46,92,96,3.13,NZ,2024-11-09 21:41:36
9,laguna,38.421,-121.4238,22.28,27,0,3.09,US,2024-11-09 21:46:53
10,wynyard,-41.0,145.7167,13.56,70,35,3.56,AU,2024-11-09 21:46:54
11,punta arenas,-53.15,-70.9167,7.06,87,75,3.09,CL,2024-11-09 21:46:56
12,hanceville,34.0607,-86.7675,23.98,81,100,3.46,US,2024-11-09 21:46:57
13,port lincoln,-34.7333,135.8667,15.76,71,61,6.75,AU,2024-11-09 21:46:58
14,igarka,67.4667,86.5833,-10.73,88,100,6.89,RU,2024-11-09 21:46:59
15,grytviken,-54.2811,-36.5092,-4.13,74,10,4.66,GS,2024-11-09 21:47:00
16,longyearbyen,78.2186,15.6401,-4.09,68,75,6.17,SJ,2024-11-09 21:46:59
17,luderitz,-26.6481,15.1594,14.53,90,59,3.77,,2024-11-09 21:47:03
18,arraial do cabo,-22.9661,-42.0278,21.98,100,75,6.17,BR,2024-11-09 21:42:09
19,mount gambier,-37.8333,140.7667,14.05,66,5,1.85,AU,2024-11-09 21:47:05
20,ushuaia,-54.8,-68.3,6.81,87,75,2.06,AR,2024-11-09 21:43:03
21,oriximina,-1.7656,-55.8661,32.15,39,21,2.09,BR,2024-11-09 21:47:08
22,bethel,41.3712,-73.414,9.76,35,0,0.89,US,2024-11-09 21:47:09
23,ilulissat,69.2167,-51.1,-4.99,86,75,3.6,GL,2024-11-09 21:47:10
24,weno,7.4515,151.8468,28.97,79,75,3.6,FM,2024-11-09 21:47:11
25,isafjordur,66.0755,-23.124,4.66,94,100,1.44,IS,2024-11-09 21:47:12
26,opuwo,-18.0607,13.84,22.3,41,90,2.48,,2024-11-09 21:47:13
27,mormugao,15.4,73.8,24.59,94,20,0.0,IN,2024-11-09 21:47:15
28,santo antonio,-6.3106,-35.4789,24.4,78,15,3.24,BR,2024-11-09 21:47:16
29,puerto ayora,-0.7393,-90.3518,22.53,86,23,4.02,EC,2024-11-09 21:47:17
30,hermanus,-34.4187,19.2345,17.67,84,29,6.26,ZA,2024-11-09 21:47:18
31,bilibino,68.0546,166.4372,-23.61,99,98,0.82,RU,2024-11-09 21:42:20
32,ciudad lazaro cardenas,17.9583,-102.2,29.03,67,41,3.78,MX,2024-11-09 21:47:21
33,ribeira grande,38.5167,-28.7,21.22,94,40,3.13,PT,2024-11-09 21:47:08
34,margaret river,-33.95,115.0667,8.97,87,8,2.43,AU,2024-11-09 21:47:23
35,west island,-12.1568,96.8225,25.99,83,20,6.69,CC,2024-11-09 21:47:24
36,maintirano,-18.0667,44.0167,25.76,77,8,3.57,MG,2024-11-09 21:47:25
37,portland,45.5234,-122.6762,13.52,75,75,3.09,US,2024-11-09 21:40:44
38,talnakh,69.4865,88.3972,-20.25,96,45,2.39,RU,2024-11-09 21:47:28
39,aljustrel,37.8776,-8.1652,15.13,64,91,2.85,PT,2024-11-09 21:47:29
40,carnarvon,-24.8667,113.6333,19.82,76,26,9.65,AU,2024-11-09 21:47:31
41,zaozersk,69.4005,32.4476,1.86,83,100,9.42,RU,2024-11-09 21:47:32
42,waddan,29.1614,16.139,17.71,50,50,1.89,LY,2024-11-09 21:47:34
43,edinburgh of the seven seas,-37.0676,-12.3116,14.9,91,100,4.65,SH,2024-11-09 21:47:35
44,harper,4.375,-7.7169,25.59,86,100,3.49,LR,2024-11-09 21:47:36
45,mogadishu,2.0371,45.3438,26.63,82,1,4.57,SO,2024-11-09 21:45:29
46,heihe,50.2441,127.4902,1.32,85,100,5.35,CN,2024-11-09 21:47:38
47,hawaiian paradise park,19.5933,-154.9731,27.16,84,100,2.06,US,2024-11-09 21:47:39
48,palikir - national government center,6.9248,158.1611,28.41,79,75,2.06,FM,2024-11-09 21:47:41
49,port mathurin,-19.6833,63.4167,24.16,87,48,7.53,MU,2024-11-09 21:47:42
50,afaahiti,-17.75,-149.2833,24.78,88,89,6.16,PF,2024-11-09 21:47:43
51,nykarleby,63.5228,22.5307,2.47,89,65,2.16,FI,2024-11-09 21:47:44
52,puerto natales,-51.7236,-72.4875,12.25,47,40,11.32,CL,2024-11-09 21:45:25
53,yelovo,57.0538,54.9207,2.84,87,100,8.07,RU,2024-11-09 21:47:47
54,evergreen,39.6333,-105.3172,6.06,81,94,4.02,US,2024-11-09 21:47:48
55,yellowknife,62.456,-114.3525,-13.1,86,75,2.06,CA,2024-11-09 21:44:48
56,as sulayyil,20.4607,45.5779,20.84,37,1,3.74,SA,2024-11-09 21:47:50
57,nova sintra,14.8667,-24.7167,26.52,77,59,5.8,CV,2024-11-09 21:47:51
58,albany,42.6001,-73.9662,7.54,47,0,2.68,US,2024-11-09 21:46:19
59,buckeye,33.3703,-112.5838,24.82,15,0,2.06,US,2024-11-09 21:43:53
60,ruhstorf,48.5333,12.6833,3.65,82,100,0.99,DE,2024-11-09 21:47:55
61,taperoa,-7.2075,-36.8267,25.41,61,84,8.51,BR,2024-11-09 21:47:56
62,novyy urgal,51.0736,132.5642,-3.7,98,100,0.4,RU,2024-11-09 21:47:44
63,tralee,52.2704,-9.7026,12.31,91,100,1.94,IE,2024-11-09 21:47:58
64,college,64.8569,-147.8028,-7.74,81,40,0.0,US,2024-11-09 21:48:00
65,tura,25.5198,90.2201,18.96,81,0,1.73,IN,2024-11-09 21:48:01
66,thompson,55.7435,-97.8558,8.09,42,40,5.66,CA,2024-11-09 21:48:04
67,atafu village,-8.5421,-172.5159,28.09,70,70,2.86,TK,2024-11-09 21:44:34
68,ixtapa,20.7,-105.2,28.57,70,75,5.14,MX,2024-11-09 21:48:07
